ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type,Loc
,50.1974,12.4568,9.301,,,,2008,10,12,14,39,,2.2,1,164.45,82.56,-21.31,257.34,68.88,-172.03,150.94,20.27,57.44,9.4,1,,
,50.1976,12.4565,9.225,,,,2008,10,12,14,48,,2.5,1,162.63,80.92,-19.61,255.84,70.65,-170.38,152.14,20.24,59.53,7.05,1,,
,50.1974,12.4573,9.08,,,,2008,10,12,14,49,,2.3,1,162.05,79.37,-15.36,254.95,74.91,-168.99,152.04,18.33,61.02,3.08,1,,
,50.2015,12.4562,8.71,,,,2008,10,12,15,9,,2.8,1,164.01,74.42,-24.35,260.94,66.6,-162.99,149.09,28.08,56.3,5.22,1,,
,50.1981,12.4566,9.394,,,,2008,10,12,15,45,,2.1,1,349.61,86.28,27.04,257.71,63.02,175.82,149.47,15.96,233,-21.51,1,,
,50.2152,12.4494,9.543,,,,2008,10,12,16,20,,2.3,1,175.15,81.19,-32.73,270.77,57.7,-169.56,321.95,-29.09,223,-15.64,1,,
,50.2142,12.4471,10.443,,,,2008,10,12,17,15,,2.2,1,294.82,57.07,-145.55,184.36,61.65,-38.15,122.36,46.07,209.46,-2.79,1,,
,50.214,12.4459,10.295,,,,2008,10,12,22,39,,2.3,1,292.12,59.78,-144.77,182.55,60.1,-35.5,302.8,-45.1,212.6,-0.2,1,,
,50.2143,12.4456,10.391,,,,2008,10,12,22,43,,2.2,1,298.03,56.89,-143.57,186.07,60.17,-39.03,119.44,47.56,207.27,-1.98,1,,
,50.214,12.4461,10.373,,,,2008,10,13,1,42,,2.9,1,303.4,53.13,-137.86,184.91,57.53,-45.32,118.41,53.5,204.94,-2.56,1,,
,50.2107,12.448,10.202,,,,2008,10,13,1,46,,2.1,1,275.29,40.56,-128.54,141.65,59.43,-61.93,169.57,63.75,238.11,-10.23,1,,
,50.2143,12.4496,9.426,,,,2008,10,14,4,1,,3.1,1,265.72,61.69,-165.64,168.8,77.39,-29.08,146.06,29.32,50.13,10.42,1,,
,50.2166,12.449,9.574,,,,2008,10,14,5,49,,2.7,1,255.67,64.47,-176.62,164.22,86.95,-25.57,153.03,20.02,237.23,-15.49,1,,
,50.2198,12.45,8.411,,,,2008,10,14,10,6,,2.1,1,167.88,87.18,-32.54,259.68,57.51,-176.65,151.19,24.5,51.55,20.19,1,,
,50.2167,12.4508,8.425,,,,2008,10,14,10,34,,2.3,1,156.71,77.96,-37.56,255.82,53.4,-164.94,160.32,34.68,238.94,-15.91,1,,
,50.2194,12.4479,9.511,,,,2008,10,14,10,47,,2.2,1,153.65,70.43,-29.99,254.59,61.9,-157.68,158.17,34.74,64.32,5.52,1,,
,50.2172,12.4489,9.79,,,,2008,10,14,11,8,,2.2,1,253.2,62.59,177.38,344.41,87.67,27.43,334.51,-17.27,237.74,-20.75,1,,
,50.2103,12.4532,8.578,,,,2008,10,14,19,0,,3.8,1,159.15,67.05,-32.66,263.18,60.2,-153.3,151.01,38.84,57.51,4.34,1,,
,50.2101,12.4527,8.697,,,,2008,10,14,19,14,,2.1,1,160.52,72.2,-12.85,254.51,77.78,-161.77,151.68,21.46,63.18,-3.81,1,,
,50.2046,12.4557,8.509,,,,2008,10,15,3,38,,2.3,1,159.44,71.93,-30.14,259.65,61.49,-159.33,153.15,33.84,58.57,6.79,1,,
,50.2045,12.4555,8.626,,,,2008,10,15,3,38,,2.3,1,160.1,72.56,-29.02,259.54,62.43,-160.24,152.66,32.63,238.4,-6.62,1,,
,50.2027,12.4562,8.545,,,,2008,10,15,3,40,,2.8,1,161.23,65.51,-23.04,261.22,69.14,-153.67,147.87,33.02,239.41,2.37,1,,
,50.2083,12.4549,8.417,,,,2008,10,15,16,0,,2.5,1,168.6,72.03,-16.52,263.83,74.3,-161.31,143.41,24.17,54.1,-1.54,1,,
,50.2115,12.4549,8.17,,,,2008,10,16,10,48,,2.9,1,157.28,73.67,-34.56,258.24,57.02,-160.41,156.9,35.72,59.07,10.73,1,,
,50.2132,12.4487,10.424,,,,2008,10,19,3,13,,2.1,1,193.52,67.95,-30.25,295.86,62.17,-154.88,116.98,36.56,204.22,-3.71,1,,
,50.2137,12.4481,10.451,,,,2008,10,19,5,47,,2.4,1,205.57,73.75,-35.48,306.85,56.14,-160.3,108.84,36.29,190.39,-11.31,1,,
,50.2253,12.4454,8.653,,,,2008,10,21,0,55,,2.7,1,155.94,76.54,-38.81,256.54,52.44,-162.93,160.75,36.55,238.93,-15.45,1,,
,50.2219,12.4476,8.615,,,,2008,10,21,0,55,,2.3,1,151.24,72.79,-38.1,254.3,53.88,-158.52,163.24,38.75,243.43,-11.98,1,,
,50.2186,12.4494,8.537,,,,2008,10,21,1,39,,2.1,1,163.97,79,-40.52,263.24,50.38,-165.65,154.48,35.87,230.54,-18.42,1,,
,50.2178,12.4497,8.556,,,,2008,10,21,1,39,,2.4,1,162.57,76.03,-36.76,262.79,54.5,-162.75,153.3,35.55,233.13,-13.88,1,,
,50.2194,12.4502,8.37,,,,2008,10,21,1,40,,2.4,1,345.39,89.75,33.25,255.23,56.75,179.7,154.77,22.62,234.58,-23,1,,
,50.2153,12.4512,8.579,,,,2008,10,21,2,3,,2.2,1,160.03,78.57,-33.65,257.54,57.11,-166.35,156.25,31.61,57.34,14.12,1,,
,50.2099,12.4591,7.398,,,,2008,10,27,13,30,,2.2,1,283.86,53.6,-132.67,161.09,53.71,-47.41,137.6,56.94,227.5,-0.07,1,,
,50.2086,12.4567,7.939,,,,2008,10,28,8,27,,2.9,1,164.26,59.9,-29.53,270.12,64.76,-146.33,141.12,41.01,233.77,3.04,1,,
,50.2118,12.4574,7.522,,,,2008,10,28,8,32,,2.2,1,275.69,52.27,-138.24,157.04,58.21,-46.04,147.11,53.63,232.41,-3.45,1,,
,50.2102,12.4551,8.325,,,,2008,10,28,10,7,,2.9,1,161.25,73.29,-23.09,258.24,67.94,-161.93,151.32,27.96,59.42,3.57,1,,
,50.2094,12.4555,8.231,,,,2008,10,28,14,8,,2.2,1,170.27,86.55,-27.55,262.07,62.51,-176.11,327.31,-21.65,230.56,-16.49,1,,
,50.2176,12.4519,8.124,,,,2008,10,28,14,51,,2.8,1,159.32,63.45,-29.06,263.27,64.25,-150.25,148.46,38.56,58.86,-0.51,1,,
,50.2169,12.4509,8.433,,,,2008,10,28,14,59,,2.2,1,155.78,78.19,-36.66,254.44,54.24,-165.39,161.1,33.92,240.3,-15.58,1,,
,50.2178,12.4516,8.088,,,,2008,10,28,15,32,,2.2,1,260.82,58.05,-144.17,149.91,60.22,-37.57,155.58,46.5,64.19,1.32,1,,
,50.2186,12.4528,7.779,,,,2008,10,28,15,45,,2.2,1,165.48,69.47,-26.55,265.42,65.26,-157.29,145.6,32.95,53.81,2.75,1,,
