ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type
KP198902212336,47.521335,8.864674,22.029,707401,264375,-22029.0,1989,2,21,23,36,50.2,3.4,0,273,62,-165,176,77,-29,131,30,227,10,1,SS
KP198903181425,47.909477,7.703124,14.162,619777,306593,-14162.0,1989,3,18,14,26,0.8,2.7,0,184,27,7,88,87,117,154,36,23,42,1,SS
KP198904020658,47.138259,9.102805,7.128,726236,222147,-7128.0,1989,4,2,6,58,59.5,3.2,0,31,43,87,215,47,93,303,2,168,87,1,TF
KP198904300337,47.277301,6.710679,18.353,544922,236524,-18353.0,1989,4,30,3,38,1.6,2.9,0,115,61,-156,13,69,-31,332,36,66,5,1,SS
KP198905051744,47.549894,7.600911,10.826,612217,266588,-10826.0,1989,5,5,17,44,4.9,1.3,0,312,79,-170,220,80,-11,176,15,266,1,1,SS
KP198906090130,47.468154,8.333778,16.823,667487,257871,-16823.0,1989,6,9,1,30,39.7,1.3,0,142,42,-105,342,50,-77,311,79,63,4,1,NF
KP198908121418,47.759618,7.722704,20.839,621301,289933,-20839.0,1989,8,12,14,19,8.9,1.6,0,275,35,-120,130,60,-71,80,69,206,13,1,NF
KP198909300440,46.330012,7.385489,7.617,595907,130959,-7617.0,1989,9,30,4,41,2.2,4.1,1,110,90,140,200,50,0,163,27,57,27,1,OT
KP198910241203,47.343094,8.586155,7.668,686716,244216,-7668.0,1989,10,24,12,3,25.6,2.1,0,314,30,-166,212,83,-61,150,44,278,32,1,SS
KP198911192120,46.859044,8.410768,8.887,674130,190227,-8887.0,1989,11,19,21,20,58.5,2.4,0,196,45,8,100,84,135,157,25,47,35,2,SS
KP199001050420,47.403691,9.110625,4.83,726200,251663,-4830.0,1990,1,5,4,21,10.0,2.9,1,126,78,-160,32,70,-13,350,23,258,5,1,SS
KP199002141555,46.27771,6.70757,7.847,543649,125407,-7847.0,1990,2,14,15,55,54.2,4.2,0,75,65,175,167,85,25,298,14,34,21,1,SS
KP199003180954,46.822628,9.853776,4.731,784266,188556,-4731.0,1990,3,18,9,54,30.4,3.5,0,326,38,-38,88,68,-121,317,56,201,17,1,ON
KP199004282224,46.344928,7.514351,3.955,605828,132618,-3955.0,1990,4,28,22,24,56.8,2.2,0,266,46,-145,150,65,-50,108,52,212,11,1,ON
KP199005071606,46.329073,7.396483,7.699,596753,130854,-7699.0,1990,5,7,16,6,35.7,1.6,0,175,45,-31,288,69,-131,153,49,46,14,1,ON
KP199005110629,47.80314,7.928948,21.109,636734,294849,-21109.0,1990,5,11,6,29,56.7,2.4,0,58,14,56,273,78,98,356,33,193,56,1,OT
KP199005110816,46.222613,7.750609,1.565,624071,119066,-1565.0,1990,5,11,8,16,22.7,2.1,0,263,40,-116,115,55,-70,76,72,191,8,1,NF
KP199006031923,46.297553,7.281885,0.623,587921,127361,-623.0,1990,6,3,19,23,54.5,2.2,0,100,60,-151,354,65,-34,315,41,48,3,1,SS
KP199006162241,47.563153,7.608313,19.056,612771,268063,-19056.0,1990,6,16,22,41,44.1,2.4,0,293,80,177,24,87,10,158,5,249,9,1,SS
KP199006201059,47.851756,7.699222,15.894,619506,300173,-15894.0,1990,6,20,10,59,31.8,2.3,0,31,35,145,151,71,60,263,20,24,54,1,OT
KP199007251438,47.509383,7.657935,10.204,616522,262094,-10204.0,1990,7,25,14,38,34.4,2.0,1,180,86,-32,272,58,-176,131,25,231,19,1,ON
KP199007261229,46.33447,7.38704,6.963,596027,131454,-6963.0,1990,7,26,12,30,14.5,2.4,1,285,80,-140,187,51,-13,154,35,50,19,1,ON
KP199007311913,47.648747,7.756428,21.847,623879,277615,-21847.0,1990,7,31,19,13,13.6,1.7,0,318,21,-109,158,70,-83,80,64,243,25,1,NF
KP199008110531,47.268687,7.995175,13.751,642117,235458,-13751.0,1990,8,11,5,31,47.2,2.8,0,11,90,0,281,90,180,326,0,236,0,1,SS
KP199008161839,47.511867,7.588947,11.645,611324,262358,-11645.0,1990,8,16,18,39,17.2,2.1,0,282,61,-167,186,79,-30,140,29,237,12,1,SS
KP199008311056,46.28136,7.450964,7.781,600950,125549,-7781.0,1990,8,31,10,57,6.3,2.0,2,181,53,25,75,70,140,132,11,32,42,1,SS
KP199009250518,46.179976,7.625646,4.672,614440,114296,-4672.0,1990,9,25,5,19,1.6,3.9,0,70,50,-130,303,54,-52,273,60,7,2,1,ON
KP199011081938,47.513739,7.685932,11.016,618629,262584,-11016.0,1990,11,8,19,38,47.4,2.0,0,282,50,-141,164,61,-47,127,53,225,6,1,ON
KP199011221550,46.903695,8.994218,2.188,718517,195906,-2188.0,1990,11,22,15,51,19.7,3.7,0,341,60,6,248,85,150,298,17,200,24,1,SS
KP199011280137,47.52856,7.826829,19.235,629235,264275,-19235.0,1990,11,28,1,38,10.5,2.0,0,319,48,-130,190,55,-55,159,61,256,4,1,ON
KP199012110910,47.853,7.941,13.0,637602,300399,-13000.0,1990,12,11,9,10,23.0,1.5,0,92,35,-132,320,65,-65,269,62,32,16,1,ON
KP199012172334,46.224483,7.632768,5.776,614978,119245,-5776.0,1990,12,17,23,34,45.9,1.7,0,319,42,-49,90,60,-120,310,62,201,10,1,ON
KP199101010729,47.831279,7.651065,0.321,615908,297885,-321.0,1991,1,1,7,29,4.4,1.8,0,68,63,-176,336,87,-27,288,21,25,16,1,SS
KP199105200013,47.664,7.823,17.0,628873,279333,-17000.0,1991,5,20,0,13,46.0,1.5,0,105,73,-170,12,80,-17,328,19,59,5,1,SS
KP199106041716,47.545144,7.594309,7.616,611721,266058,-7616.0,1991,6,4,17,17,9.5,1.6,0,360,56,24,256,70,144,311,9,213,39,1,SS
KP199108250006,47.674537,7.293026,-0.34,589066,280445,340.0,1991,8,25,0,6,40.7,2.6,0,292,76,-172,200,82,-14,155,16,247,4,1,SS
KP199109071808,46.220845,7.933845,10.06,638210,118942,-10060.0,1991,9,7,18,9,21.3,2.4,0,135,55,-19,236,74,-144,101,37,2,12,1,SS
KP199111050913,47.590877,7.678398,17.773,618036,271159,-17773.0,1991,11,5,9,13,6.3,2.1,0,334,43,-122,194,55,-64,160,68,266,7,1,ON
KP199111121910,47.679,7.475,12.0,602732,280931,-12000.0,1991,11,12,19,10,52.0,1.8,0,175,59,-22,277,71,-147,139,36,44,8,1,SS
KP199111200154,46.734093,9.526211,7.866,759542,177999,-7866.0,1991,11,20,1,54,17.3,5.0,1,294,37,-72,92,55,-103,321,76,191,9,1,NF
KP199203250533,47.504376,7.631437,9.635,614527,261532,-9635.0,1992,3,25,5,33,17.5,2.4,0,278,65,-160,179,72,-26,137,31,230,5,1,SS
KP199205080644,47.15373,9.516391,0.085,757556,224615,-85.0,1992,5,8,6,44,39.9,4.7,0,102,63,-160,3,72,-28,321,32,54,6,2,SS
KP199212302133,47.712668,8.379978,24.445,670644,285097,-24445.0,1992,12,30,21,34,12.2,3.9,0,181,71,3,90,87,161,137,11,44,15,1,SS
KP199408280604,46.87915,8.760253,2.023,700740,192851,-2023.0000000000002,1994,8,28,6,4,45.2,3.9,0,68,56,156,172,70,36,297,9,34,39,1,SS
