ID,LAT,LON,DEPTH,X,Y,Z,YR,MO,DY,HR,MI,SC,MAG,A,Strike1,Dip1,Rake1,Strike2,Dip2,Rake2,Pazim,Pdip,Tazim,Tdip,Q,Type ,Loc,,,,,,,,,,,,,CAT-ID,ALQ,FMQ,FMT,ScR,ME,Mw,M0,,EvID_DD,,,FMCAT-OT,FMCAT-LOC,FMCAT-MAG,MiDis,Depi,Ddep,Dmag,Region,Ref,,,,,,,,,,,,,,,,,
KP198803232111,47.67514,7.447988,18.692,600704,280501,-18692,1988,3,23,21,11,37.2,2,0,7,30,-13,108,84,-119,350,44,222,33,,,,,,,,,,,,,,,,DDR-NW0,D,1,SS,-0.411,FM,1.94,912010000000,,198800065,,,1988,3,23,21,11,0,47.675,7.474,11,1.6,19.7,2,7.7,0.4,Sierentz,14,18,,,,,,,,,
KP198804161404,47.424167,7.890705,8.66,634112,252694,-8660,1988,4,16,14,5,11.6,1.7,1,310,63,-108,165,32,-59,187,67,53,16,,,,,,,,,,,,,,,,DDR-NW0,A,1,NF,-0.8,FM,1.99,1083900000000,,198800099,,,1988,4,16,14,5,0,47.436,7.889,9,1.9,5.3,1.3,-0.3,-0.2,Zeglingen,10,13,,,,,,,,,
KP198804170340,46.784266,9.474756,6.127,755466,183472,-6127,1988,4,17,3,41,8.6,2.1,0,327,43,-59,108,54,-115,321,69,216,6,,,,,,,,,,,,,,,,DDR-SE0,B,1,ON,-0.689,FM,2.23,2483100000000,,198800100,,,1988,4,17,3,41,0,46.783,9.467,6,2.2,7.1,0.6,0.1,-0.1,Feldis,11,12,,,,,,,,,
KP198805111112,47.512391,7.662202,9.871,616842,262429,-9871,1988,5,11,11,12,9.3,2.4,0,199,75,-16,293,75,-164,156,22,66,0,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,-0.178,FM,2.42,4786300000000,,198800137,,,1988,5,11,11,12,0,47.515,7.677,10,1.5,3.4,1.2,-0.1,0.9,Pratteln,14,18,,,,,,,,,
KP198805232155,46.735114,9.644366,7.887,768566,178360,-7887,1988,5,23,21,56,7,2.1,0,345,47,-54,118,54,-122,328,64,230,4,,,,,,,,,,,,,,,,DDR-SE0,B,1,ON,-0.622,FM,2.23,2483100000000,,198800153,,,1988,5,23,21,56,0,46.726,9.642,7,2.1,10.8,1,0.9,0,Lenzerheide,11,12,,,,,,,,,
KP198806112244,45.918988,6.785701,17.087,549339,85477,-17087,1988,6,11,22,44,45.5,3.7,0,34,50,-174,300,85,-40,249,31,354,23,,,,,,,,,,,,,,,,DDR-SW0,D,1,SS,-0.256,FM,3.43,156680000000000,,198800184,,,1988,6,11,22,44,0,45.861,6.886,8,3.4,22.5,10.1,9.1,0.3,M.Blanc,23,,,,,,,,,,
KP198808260030,47.804633,7.67442,19.886,617665,294927,-19886,1988,8,26,0,30,34.2,3.1,0,307,30,-118,158,64,-75,97,67,237,18,,,,,,,,,,,,,,,,DDR-NW0,D,1,NF,-0.761,FM,3.12,53703000000000,,198800277,,,1988,8,26,0,30,0,47.804,7.688,19,3.3,31.5,1,0.9,-0.2,Badenweiler,14,18,,,,,,,,,
KP198809112301,47.12601,8.390906,30.955,672255,219885,-30955,1988,9,11,23,1,54.5,2.5,0,298,74,180,28,90,16,162,11,254,11,,,,,,,,,,,,,,,,DDR-NE0,C,1,SS,0.089,FM,2.49,6095400000000,,198800319,,,1988,9,11,23,1,0,47.13,8.39,29,2.5,26.2,0.4,2,0,Root,10,,,,,,,,,,
KP198810141902,46.704795,6.87449,0.322,556857,172776,-322,1988,10,14,19,2,30.5,3.4,1,350,69,20,253,71,158,302,2,211,29,,,,,,,,,,,,,,,,ABSRELOC,B,1,SS,0.222,FM,3.17,63826000000000,,198800360,,,1988,10,14,19,2,0,46.698,6.889,2,3.3,10.1,1.3,-1.7,0.1,Romont,9,30,34,,,,,,,,
KP198810181119,47.747597,7.634294,4.542,614675,288576,-4542,1988,10,18,11,19,59.2,1.9,0,272,73,170,5,80,17,138,5,229,19,,,,,,,,,,,,,,,,ABSRELOC,D,1,SS,0.15,FM,2.3,3162300000000,,198800365,,,1988,10,18,11,19,0,47.738,7.648,12,2,32.9,1.5,-7.5,-0.1,Feuerbach,14,18,,,,,,,,,
KP198810272052,47.487608,7.739461,12.725,622673,259693,-12725,1988,10,27,20,52,15.2,1.6,0,275,77,-177,184,87,-13,139,11,230,7,,,,,,,,,,,,,,,,DDR-NW0,A,1,SS,-0.089,FM,1.94,912010000000,,198800379,,,1988,10,27,20,52,0,47.5,7.741,12,1.6,4,1.4,0.7,0,Liestal,28,,,,,,,,,,
KP198811202043,47.710055,7.525237,22.038,606501,284387,-22038,1988,11,20,20,43,14.6,1.9,0,263,68,-177,172,87,-22,125,17,220,13,,,,,,,,,,,,,,,,DDR-NW0,D,1,SS,-0.139,FM,2.11,1640600000000,,198800403,,,1988,11,20,20,43,0,47.73,7.548,17,1.9,28.7,2.8,5,0,Bad,Bellingen,14,18,,,,,,,,
KP198901070229,46.353192,7.515599,6.53,605924,133537,-6530,1989,1,7,2,29,41.5,3.6,0,57,68,170,151,81,22,282,9,16,22,,,,,,,,,,,,,,,,DDR-SW0,A,1,SS,0.178,FM,3.34,114820000000000,,198900005,,,1989,1,7,2,29,0,46.342,7.539,4,3.4,5.4,2.2,2.5,0.2,Montana,20,,,,,,,,,,
KP198902212336,47.521335,8.864674,22.029,707401,264375,-22029,1989,2,21,23,36,50.2,3.4,0,273,62,-165,176,77,-29,131,30,227,10,,,,,,,,,,,,,,,,DDR-NE0,C,1,SS,-0.244,FM,3.17,63826000000000,,198900038,,,1989,2,21,23,36,0,47.531,8.858,22,3.5,12.5,1.2,0,-0.1,Islikon,10,,,,,,,,,,
KP198903181425,47.909477,7.703124,14.162,999000,999000,-14162,1989,3,18,14,26,0.8,2.7,0,184,27,7,88,87,117,154,36,23,42,,,,,,,,,,,,,,,,ABSRELOC,D,1,SS,0.389,FM,3.01,36728000000000,,198900072,,,1989,3,18,14,26,0,47.909,7.698,14,3,51.7,0.4,0.2,-0.3,Bad,Krotzingen,14,18,,,,,,,,
