ID,LAT,LON,DEPTH,X,Y,Z,EX,EY,EZ,YR,MO,DY,HR,MI,SC,MAG,NCCP,NCCS,NCTP,NCTS,RCC,RCT,CID
KP201802142338,45.943799,6.076316,6.843,494351,88943,-6843,308.3,382.2,1470.2,2018,2,14,23,38,39.03,1.25,,,,,,,
KP199607180130,45.942,6.077,3,494400,88742,-3000,-9,-9,-9,1996,7,18,1,30,36.1,1.9,,,,,,,
KP199610110435,45.94,6.08,3,494629,88516,-3000,-9,-9,-9,1996,10,11,4,36,7.9,2,,,,,,,
KP199607202204,45.946,6.08,3,494641,89183,-3000,-9,-9,-9,1996,7,20,22,4,34.8,3,,,,,,,
KP199401212041,47.344,6.045,10,494691,244620,-10000,-9,-9,-9,1994,1,21,20,42,3.2,2.8,,,,,,,
KP199607160004,45.944,6.083,1,494870,88956,-1000,-9,-9,-9,1996,7,16,0,4,6.1,1.7,,,,,,,
KP199607150546,45.94,6.084,3,494939,88510,-3000,-9,-9,-9,1996,7,15,5,46,13.3,3.2,,,,,,,
KP199608010559,45.941,6.084,3,494941,88621,-3000,-9,-9,-9,1996,8,1,6,0,12.1,2.3,,,,,,,
KP199607182036,45.932,6.085,2,495002,87620,-2000,-9,-9,-9,1996,7,18,20,36,23.8,1.9,,,,,,,
KP198706180816,47.319,6.05,9,495019,241834,-9000,-9,-9,-9,1987,6,18,8,16,50.9,2.7,,,,,,,
KP202311191930,46.214452,6.078789,2.375,495065,119023,-2375,159.1,151.7,280.1,2023,11,19,19,30,19.64,0.66,,,,,,,
KP202312020250,46.214601,6.078898,2.334,495073,119039,-2334,173.8,152.7,259.4,2023,12,2,2,50,50.83,0.49,,,,,,,
KP202003202024,47.431122,6.047835,18.899,495077,254301,-18899,272,192.6,600.1,2020,3,20,20,24,42.94,1.83,,,,,,,
KP202312020251,46.214352,6.079059,2.374,495085,119011,-2374,161.5,151.6,254,2023,12,2,2,51,2.8,0.97,,,,,,,
KP199607230250,45.937,6.09,3,495399,88169,-3000,-9,-9,-9,1996,7,23,2,50,31.6,2.5,,,,,,,
KP202107290137,45.923538,6.091427,5.693,495484,86671,-5693,170,199.2,1919.8,2021,7,29,1,37,18.82,1.71,,,,,,,
KP202311201230,45.938891,6.091661,6.554,495531,88377,-6554,183.6,265.2,1446.3,2023,11,20,12,30,43.82,1.39,,,,,,,
KP199607150013,45.935,6.092,3,495550,87944,-3000,-9,-9,-9,1996,7,15,0,13,30.4,5.1,,,,,,,
KP199809051923,47.197,6.066,10,495991,228251,-10000,-9,-9,-9,1998,9,5,19,23,28.3,2.3,,,,,,,
KP201304062049,45.945845,6.097603,-0.485,496005,89142,485,220.8,340.6,910,2013,4,6,20,49,5.457,2.75,,,,,,,
KP200303251112,47.4,6.061,10,496009,250824,-10000,-9,-9,-9,2003,3,25,11,12,46.5,1.6,,,,,,,
KP202211290226,46.295397,6.093906,2.618,496386,127999,-2618,269.9,215.4,278.1,2022,11,29,2,26,12.65,1.57,,,,,,,
KP202401100036,46.357604,6.092984,-0.388,496433,134915,388,400.8,188.2,626.1,2024,1,10,0,36,18.529,1.06,,,,,,,
KP202411261159,46.359601,6.100428,1.946,497010,135127,-1946,295.8,193.7,299.1,2024,11,26,11,59,10.42,1.19,,,,,,,
KP202404220112,46.359446,6.100527,0.53,497017,135110,-530,3006.7,760.5,2375.9,2024,4,22,1,12,47.91,0.38,,,,,,,
KP202411270409,46.359308,6.100526,1.919,497017,135094,-1919,289.6,190.9,308,2024,11,27,4,9,1.95,0.9,,,,,,,
KP198209292321,45.708,6.117,1,497064,62679,-1000,-9,-9,-9,1982,9,29,23,21,41.9,2.3,,,,,,,
KP202312161152,46.369883,6.102527,4.31,497191,136267,-4310,657.9,251.2,1240.8,2023,12,16,11,52,44.086,0.63,,,,,,,
KP201106301812,47.577,6.074,14,497333,270484,-14000,-9,-9,-9,2011,6,30,18,12,50.7,2.2,,,,,,,
KP202208262243,47.462982,6.078755,18.616,497471,257802,-18616,553.9,259.3,1039.1,2022,8,26,22,43,15.06,1.36,,,,,,,
KP199607230408,46.002534,6.115479,-0.63,497498,95419,630,3573.5,3247.1,2896.2,1996,7,23,4,8,41.585,3.9,,,,,,,
KP202312192211,46.367223,6.106601,2.367,497499,135966,-2367,892.3,320.9,1457.3,2023,12,19,22,11,12.199,0.92,,,,,,,
KP201707181736,46.344916,6.107538,7.307,497529,133485,-7307,682.4,298,667.4,2017,7,18,17,36,50.349,0.84,,,,,,,
KP202407162352,46.387395,6.109539,4.453,497763,138204,-4453,300.6,429.2,1029.8,2024,7,16,23,52,34.51,0.79,,,,,,,
KP200103190031,47.308,6.087,7,497795,240562,-7000,-9,-9,-9,2001,3,19,0,31,17.5,2.8,,,,,,,
KP200503191338,47.384341,6.088408,18.783,498048,249047,-18783,3124.9,2276.4,6718.8,2005,3,19,13,38,59.021,2.1,,,,,,,
KP202209291541,47.154115,6.095396,4.971,498137,223445,-4971,1679.5,1825.4,4950.7,2022,9,29,15,41,36.17,1.81,,,,,,,
KP201206171120,45.966924,6.126034,11.88,498249,91447,-11880,1056.2,843.5,3437,2012,6,17,11,20,37.957,2.6,,,,,,,
KP202009190726,47.367361,6.093555,20.768,498404,247153,-20768,359.5,270,614.5,2020,9,19,7,26,38.27,1.89,,,,,,,
KP202503151757,46.479619,6.117393,3.59,498540,148445,-3590,380,314.5,655.1,2025,3,15,17,57,55.91,1.57,,,,,,,
KP200404121446,47.464,6.096,10,498773,257893,-10000,-9,-9,-9,2004,4,12,14,46,38.7,2,,,,,,,
KP201809300417,46.997549,6.108764,0.085,498855,206025,-85,379.3,263.4,1819.9,2018,9,30,4,17,34.282,1.69,,,,,,,
KP202510051741,47.329047,6.101043,22.042,498897,242884,-22042,573.2,385.8,667.4,2025,10,5,17,41,28.39,1.49,,,,,,,
KP202002150254,47.059764,6.109175,3.218,499004,212940,-3218,620,447.3,4438,2020,2,15,2,54,55.145,0.82,,,,,,,
KP202002180131,47.06181,6.110028,3.546,499072,213166,-3546,675.7,459.6,4287.4,2020,2,18,1,31,23.53,0.67,,,,,,,
KP202401120333,46.207655,6.139869,2.522,499765,118187,-2522,346.7,262.5,532.7,2024,1,12,3,33,41.73,0.19,,,,,,,
KP200501011042,47.138,6.123,2,500200,221619,-2000,-9,-9,-9,2005,1,1,10,42,10.8,2.3,,,,,,,
KP200212050236,45.78,6.158,13,500387,70629,-13000,-9,-9,-9,2002,12,5,2,36,12.1,1.8,,,,,,,
KP202409271444,46.620003,6.138179,22.16,500395,164022,-22160,681.7,633.3,1679,2024,9,27,14,44,56.72,1.88,,,,,,,
KP200808300232,46.003,6.155,-1,500560,95420,1000,-9,-9,-9,2008,8,30,2,33,6.7,1.7,,,,,,,
KP200201111642,47.213,6.128,10,500718,229949,-10000,-9,-9,-9,2002,1,11,16,42,51.9,1.5,,,,,,,
KP197702011157,46.617,6.143,18,500759,163682,-18000,-9,-9,-9,1977,2,1,11,57,38.2,3.1,,,,,,,
KP200210300246,45.855184,6.161313,8.883,500781,78982,-8883,3117.1,3184.6,4149.5,2002,10,30,2,47,3.653,2.3,,,,,,,
KP198509231329,46.746237,6.142987,10.217,500996,178047,-10217,1330.8,529.3,1014.2,1985,9,23,13,29,40.694,2.4,,,,,,,
KP201504051420,47.374511,6.128581,19.387,501063,247903,-19387,857.3,866,2198.9,2015,4,5,14,20,56.02,2.78,,,,,,,
KP198304261020,46.95,6.143,1,501371,200696,-1000,-9,-9,-9,1983,4,26,10,20,0.7,1.9,,,,,,,
KP201607020117,46.031594,6.165549,1.98,501429,98585,-1980,263.9,331.5,1039.9,2016,7,2,1,17,12.857,1.6,,,,,,,
KP198311160002,46.077,6.165,10,501468,103633,-10000,-9,-9,-9,1983,11,16,0,2,44.5,2.3,,,,,,,
KP200504271614,47.015,6.149,10,501947,207913,-10000,-9,-9,-9,2005,4,27,16,13,59.1,1.6,,,,,,,
KP198306211503,47.108,6.15,1,502193,218250,-1000,-9,-9,-9,1983,6,21,15,3,3.7,2.6,,,,,,,
KP202508090719,47.036263,6.152951,12.974,502286,210272,-12974,691.9,400.6,1500.8,2025,8,9,7,19,35.05,1.87,,,,,,,
KP202002261351,46.693434,6.165326,11.351,502607,172149,-11351,2809.1,659.3,4091.8,2020,2,26,13,51,20.61,1.38,,,,,,,
KP202105080052,46.855317,6.17063,7.578,503304,190137,-7578,281,186.7,1531,2021,5,8,0,52,0.464,1.29,,,,,,,
KP202402040310,46.351004,6.184687,-0.449,503479,134064,449,141.4,124.5,203,2024,2,4,3,10,41.879,1.48,,,,,,,
KP200510041954,46.327111,6.185976,8.516,503535,131407,-8516,734,642.3,2818.4,2005,10,4,19,54,29.045,2,,,,,,,
KP202110192023,45.755967,6.208226,3.258,504252,67895,-3258,784.9,676.2,5675.2,2021,10,19,20,23,32.76,1.76,,,,,,,
KP201108200451,46.659246,6.192861,27.005,504653,168316,-27005,920.9,412.9,793.1,2011,8,20,4,51,46.48,2,,,,,,,
KP197906061001,47.482,6.175,5,504761,259795,-5000,-9,-9,-9,1979,6,6,10,1,7.3,2,,,,,,,
KP197505290045,46.092,6.208,10,504821,105247,-10000,-9,-9,-9,1975,5,29,0,45,11.8,2.9,,,,,,,
KP202112180627,47.412441,6.179143,15.679,504949,252057,-15679,806.7,317.6,1125.3,2021,12,18,6,27,49.41,1.05,,,,,,,
KP202109250718,45.75204,6.220294,13.911,505184,67444,-13911,343.1,402.8,1434.3,2021,9,25,7,18,24.645,1.89,,,,,,,
KP198904021255,46.566,6.21,10,505802,157930,-10000,-9,-9,-9,1989,4,2,12,55,27,2.2,,,,,,,
KP201410100246,47.445343,6.190785,15.267,505885,255700,-15267,759.6,1193.3,1969.7,2014,10,10,2,46,31.83,2.67,,,,,,,
KP202308262050,46.394441,6.217119,5.316,506050,138853,-5316,369.9,417.9,916.6,2023,8,26,20,50,39.717,0.64,,,,,,,
KP197506282357,47.185,6.202,10,506274,226746,-10000,-9,-9,-9,1975,6,28,23,57,1,3.3,,,,,,,
KP202209200857,46.387278,6.221286,3.16,506358,138052,-3160,252.2,235.7,1517.3,2022,9,20,8,57,41.515,0.91,,,,,,,
KP198207061837,46.373,6.225,2,506619,136460,-2000,-9,-9,-9,1982,7,6,18,37,7.1,2.2,,,,,,,
KP198203051043,47.702,6.195,10,506656,284229,-10000,-9,-9,-9,1982,3,5,10,43,38.7,2.3,,,,,,,
KP202209141614,45.925493,6.236773,4.892,506762,86704,-4892,321.5,352.2,5698.5,2022,9,14,16,14,57.08,0.79,,,,,,,
KP202209092208,45.926302,6.237296,4.983,506804,86794,-4983,143.9,192.5,1671.7,2022,9,9,22,8,58.68,1.59,,,,,,,
KP202410270501,45.929321,6.237242,4.929,506805,87129,-4929,164.6,192.6,1851.2,2024,10,27,5,1,26.77,0.72,,,,,,,
KP202310081640,45.925696,6.237504,4.961,506819,86726,-4961,145.2,184.9,1551.9,2023,10,8,16,40,47.18,1.13,,,,,,,
KP202410250121,45.929349,6.238488,4.955,506902,87131,-4955,146.6,192.4,1627.7,2024,10,25,1,21,58.7,1.73,,,,,,,
KP202408021140,45.929147,6.238548,4.961,506906,87109,-4961,147.8,187.5,1246.1,2024,8,2,11,40,36.32,1.66,,,,,,,
KP201803090830,45.924801,6.238655,5.148,506907,86625,-5148,141.2,186,1503.8,2018,3,9,8,30,53.73,1.92,,,,,,,
KP202407131354,45.928345,6.238675,5.156,506914,87019,-5156,141.2,184,1455.5,2024,7,13,13,54,10,1.93,,,,,,,
KP202212272000,45.924793,6.238988,5.521,506933,86624,-5521,139.7,189.6,1366.2,2022,12,27,20,0,10.93,1,,,,,,,
KP202303280228,46.436503,6.227673,3.441,506934,143515,-3441,221.5,320.3,557.3,2023,3,28,2,28,39.55,0.43,,,,,,,
KP202405232205,45.928435,6.239051,5.166,506944,87029,-5166,141.1,185.9,1499.2,2024,5,23,22,5,17.33,0.77,,,,,,,
KP202405290215,45.928725,6.239111,5.165,506949,87061,-5165,146.4,184.9,1684.9,2024,5,29,2,15,0.61,0.9,,,,,,,
KP202406070503,45.927649,6.239557,4.984,506982,86941,-4984,146.7,192.3,1628.7,2024,6,7,5,3,22.65,1.34,,,,,,,
KP202510130004,47.108811,6.213182,3.486,506989,218263,-3486,679.5,446.4,2471.2,2025,10,13,0,4,49.91,1.96,,,,,,,
KP202405102156,45.928193,6.239883,4.98,507008,87001,-4980,175.1,158.1,1284.3,2024,5,10,21,56,33.87,2.32,,,,,,,
KP202406070436,45.928103,6.240066,4.986,507022,86991,-4986,186,187.1,1018.9,2024,6,7,4,36,40.69,3.1,,,,,,,
KP201804041122,45.92694,6.240113,10.018,507024,86861,-10018,313.2,444.7,6209.1,2018,4,4,11,22,21.93,1.8,,,,,,,
KP202405191509,45.926274,6.240139,5.133,507025,86787,-5133,141.1,185,1485.4,2024,5,19,15,9,44.47,1.39,,,,,,,
KP202406062225,45.926303,6.240254,5.059,507033,86790,-5059,187.2,299.9,3862.2,2024,6,6,22,25,7.85,0.81,,,,,,,
KP202405082336,45.928005,6.240219,4.998,507034,86980,-4998,140.8,184,1564.3,2024,5,8,23,36,45.28,1.95,,,,,,,
KP202405090018,45.927503,6.240312,5.014,507040,86924,-5014,141,183.9,1556.5,2024,5,9,0,18,51.07,2.01,,,,,,,
KP202405190040,45.926284,6.240343,5.104,507040,86788,-5104,140.6,185,1503.6,2024,5,19,0,40,18.84,0.96,,,,,,,
KP202411091314,45.923041,6.240404,4.955,507040,86428,-4955,167.1,223.6,1873.3,2024,11,9,13,14,52.75,1.05,,,,,,,
KP200302242121,47.011466,6.216169,9.367,507047,207439,-9367,974.5,626.4,880.9,2003,2,24,21,21,22.539,3.1,,,,,,,
KP202407132010,45.924026,6.240556,5.017,507053,86537,-5017,140.8,187.6,1550.2,2024,7,13,20,10,43.63,0.84,,,,,,,
KP202407010551,45.925631,6.240535,5.01,507054,86715,-5010,165.6,156.2,1242.9,2024,7,1,5,51,47.1,2.46,,,,,,,
KP202406070432,45.927345,6.240576,5.289,507060,86906,-5289,141.3,184.9,1406.6,2024,6,7,4,32,40.88,1.29,,,,,,,
KP202408071320,45.92669,6.241455,4.994,507127,86832,-4994,142.5,183.4,1583,2024,8,7,13,20,17.99,1.69,,,,,,,
KP202407230224,45.922918,6.241728,4.981,507142,86412,-4981,140.6,187.1,1572.1,2024,7,23,2,24,56.85,1.52,,,,,,,
KP202407231000,45.922301,6.241964,4.992,507159,86343,-4992,140.3,187.8,1577.5,2024,7,23,10,1,0.03,2.1,,,,,,,
KP202407250133,45.921439,6.242711,5.294,507216,86247,-5294,141.7,188.7,1452.1,2024,7,25,1,33,31.3,0.98,,,,,,,
KP201907210547,45.769756,6.249144,3.936,507459,69379,-3936,328.9,730,9117.7,2019,7,21,5,47,6.92,1.94,,,,,,,
KP201212161838,46.355557,6.242025,8.409,507900,134501,-8409,278.6,526.7,2807.6,2012,12,16,18,38,3.443,1.81,,,,,,,
KP197903010651,46.787,6.237,10,508248,182463,-10000,-9,-9,-9,1979,3,1,6,50,52.3,2.2,,,,,,,
KP199202111616,47.232,6.23,5,508477,231937,-5000,-9,-9,-9,1992,2,11,16,16,40.7,2.1,,,,,,,
KP201911051200,45.972531,6.258492,7.652,508526,91907,-7652,263.1,239.1,1388.6,2019,11,5,12,0,28.54,1.03,,,,,,,
KP202212260150,45.738572,6.264747,6.858,508621,65894,-6858,3311.3,970.4,10486.8,2022,12,26,1,50,10.38,2.26,,,,,,,
KP202006220547,47.002798,6.239119,21.642,508777,206448,-21642,388.4,393.4,1478.5,2020,6,22,5,47,0.88,2.81,,,,,,,
KP198705241313,47.03848,6.24253,15.051,509097,210411,-15051,1273.6,994.2,2281.9,1987,5,24,13,14,9.994,2.7,,,,,,,
KP198805281512,46.274,6.261,3,509224,125414,-3000,-9,-9,-9,1988,5,28,15,12,44,1.7,,,,,,,
KP202207201432,47.114175,6.245146,3.08,509424,218822,-3080,690.1,381.5,2873.5,2022,7,20,14,32,37.17,1.89,,,,,,,
KP202105260406,46.345274,6.262868,-0.371,509487,133334,371,127.1,176.3,185.4,2021,5,26,4,6,39.123,1.05,,,,,,,
KP197701062336,47.356,6.251,25,510276,245698,-25000,-9,-9,-9,1977,1,6,23,35,46.2,3.4,,,,,,,
KP200402260057,47.277968,6.253668,15.166,510346,237020,-15166,1381.6,630,1147.6,2004,2,26,0,57,45.72,2.1,,,,,,,
KP201702180227,46.740707,6.265627,22.468,510357,177284,-22468,375.5,244,341.4,2017,2,18,2,27,17.25,1.06,,,,,,,
KP201609221007,46.74079,6.265691,22.456,510362,177293,-22456,376,243.9,339.8,2016,9,22,10,7,52.58,1.49,,,,,,,
KP198804242322,46.376712,6.274043,15.267,510399,136815,-15267,1518.3,1713.8,2646.9,1988,4,24,23,22,19.97,1.9,,,,,,,
KP198705241324,47.026,6.263,1,510632,209000,-1000,-9,-9,-9,1987,5,24,13,24,25.8,2.7,,,,,,,
KP197605260817,46.26,6.28,10,510665,123836,-10000,-9,-9,-9,1976,5,26,8,17,30.4,0,,,,,,,
